,Job_Title,Key_Skills,Location1,Functional_Area_merged,Job_Experience,Job_Salary
28957," Day Care Teacher,teacher-ecc Tech Mahindra Center-electronic City"," Day Care, Teaching",Bengaluru,"Teachers,Teaching , Education , Training , Counselling,Education, Teaching, Training",1 - 5,1 - 5
28966, Client Acquisition And Branding Executive," client acquisition, sales, client servicing, new business, equity, financial products, Stock Broking, Broking, Share Broking, Equity Broking, New Client Acquisition",Mumbai,"Channel Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
28967, Customer Care Voice Process Salary upto 18K Good English@thane West," bpo, tech support, voice, call centre, international bpo, inbound, back office, customer service, customer care, kpo, sales, technical support, voice process, outbound, chat, domestic process, international call center, non voice, email, Us, customer care executive","NaviMumbai,Thane","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
28973, Recruiter - HR Executive - Gurgaon," Recruiter, Non IT Recruiter, HR Recruitment",Gurgaon,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Medical, Healthcare, Hospitals",1 - 5,1 - 5
28974, Business Development Manager ( Fresher Do Apply)," business development, team management, client management, campaigns, marketing, branding, advertising, promotions, corporate presentations, client generation, mba fresher, bms, bba, bcom, fresher",Ahmedabad,"Retail Sales,Sales , Retail , Business Development,Advertising, PR, MR, Event Management",1 - 5,1 - 5
28978, PHP Developer," web developer, php, laravel, wordpress, shopify, core php, Opencart",Kolkata,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
29000," Quality Analyst,"," Quality Analysis, qa analysis",NaviMumbai,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29004," Opening For an Assistant Store Manager For a Company at Sahar, Mumbai"," retail store manager, store management, assistant store manager, retail business, sales","Mumbai,MumbaiSuburbs","Retail Sales,Sales , Retail , Business Development,FMCG, Foods, Beverage",1 - 5,1 - 5
29014, Retail Sales Executive (female)," Retail Sales, Customer Service, Sales Process, Profitability, Cross Selling, Consumer Behavior, Sales Achievement, Sales Executive, Store Management, Sales Executive Activities, Stocking",Delhi,"Retail Sales,Sales , Retail , Business Development,Architecture, Interior Design",1 - 5,1 - 5
29019, Electrical Engineer for Consumer Dureble Co- PAN India," engineer, Electrical Maintenance, Electrical Engineering, electronics engineering","Delhi NCR,Mumbai,Bengaluru,Chennai,Hyderabad,Pune,Kolkata,Ahmedabad,Delhi","Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Construction, Engineering, Cement, Metals",1 - 5,1 - 5
29021," Huge Requirement 4 Banking Process , UK Shift , Sal upto 3.5lpa"," Finance, Debit, Banking Process, Salary, UK Shift, Fresher, International voice, customer service, Client Servicing, Analyst, International Call Center, International BPO",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29023," Telecalling , Telecounselling Executive"," Digital Marketing, Web Marketing, Student Counseling, Web Technologies",Bengaluru,"Sales Support,Sales , Retail , Business Development,Education, Teaching, Training",1 - 5,1 - 5
29034," Medical Coding Freshers Jobs - Micro bio ,zoology, Biology etc."," biotechnology, microbiology, nursing, lab technician, biomedical, nutrition, biochemistry, pharmacy, life sciences, zoology","Chennai,Erode,Vellore,Salem","Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
29045, Clinical Research Associate Walkin Interview," ich - gcp guidelines, clinical research, clinical data management, clinical trials, Research Associate, clinical research associate","Mumbai,Bengaluru,Chennai,Hyderabad,Pune,Kolkata,Delhi,Indore,Noida","R&D,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
29051, RF Planning Engineer," BTS, Test Engineering, Service Engineering, Drive Test, RF Planning, Telecom Engineer, RF Survey, Telecom Engineering, RF Engineer, Testing","Mumbai,Pune","Programming & Design,IT Software - Telecom Software,Telcom, ISP",1 - 5,1 - 5
29057, Hiring for Bancassurance - Aditya Birla sun life Insurance," sales management, direct sales, telemarketing, outbound sales, direct marketing, sales marketing, marketing executive, sales officer, insurance sales, Agency Manager, Telesales, Unit Sales Manager","Bengaluru,Chennai,Hyderabad,Mangalore","Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
29070, PHP Developer," CSS, MySQL, Javascript, PHP, HTML, JSON, MVC, JQuery, Codeigniter, Ajax",Bengaluru,"Programming & Design,IT Software - Other,Media, Entertainment, Internet",1 - 5,1 - 5
29072," Sales Executive- Colours,dyes and Pigments"," senior sales executive, sales engineer, sales executive activities, sales executive",Mumbai,"Retail Sales,Sales , Retail , Business Development,Chemicals, PetroChemical, Plastic, Rubber",1 - 5,1 - 5
29073, Internet Researcher," internet research, research analyst, research executive, web research, research associate, Internet Researcher, Web Researcher","Mumbai,MumbaiSuburbs,NaviMumbai","Back Office,Web,Transaction Processing,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29082," Urgent Opening In MNC For Recruiter,sourcing Specialist"," it recruitment, hiring, recruitment, Sourcing, human resource, Talent Acquisition, staffing",Bengaluru,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
29088," Clients Executive - Male,female - Gurgaon"," communication skills, Customer Care",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
29132," Computer, IT , (fresher, Exp) Technical Support Role- US IT Healthcare"," Java, Tomcat, Core Java, Advanced Java, Networking, Linux, Technical Support, Mysql, Routing, Switching, SQL","Mumbai,NaviMumbai,Thane","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
29137," Marketing Executive, Business Development Executive,tele"," Business Development, Sales, Exhibitions, Telemarketing",Mumbai,"Retail Sales,Sales , Retail , Business Development,Other",1 - 5,1 - 5
29152," .3D Modeller, 3D Architectural Visualiser, 3D Modeling Artist"," 3ds max, visualiser, vray, 3D Modeling, architecture",Pune,"Creative,Design , Creative , User Experience,Animation, Gaming",1 - 5,1 - 5
29156, Back Office Computer Operator," front office executive, operations manager, back office processing, computer operator, back office assistant, front desk executive, back office executive","Delhi NCR,GreaterNoida,Manesar","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29157, Public Relation Executive," media relations, mass communication, public relations, journalism, mass media",Mumbai,"Public Relations,Marketing , Advertising , MR , PR , Media Planning,Media, Entertainment, Internet",1 - 5,1 - 5
29164," Inbound Process,call Center, call Center, BPO, Fresher's,day Shift,cce"," International BPO, Call Center, Non Voice Process, Customer Care, Calling, Domestic, inbound, voice process, international call center, BPO, KPO, LPO, Domestic BPO, Data Entry, Back Office, computer operator","Delhi NCR,Faridabad,Noida,Delhi,GreaterNoida,Gurgaon,...More","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29168, Customer Service Executive -nbfc," Customer Support, customer service management, Customer Care, client satisfaction",Mumbai,"Retail,Personal Banking,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",1 - 5,1 - 5
29169, Care Taker, housekeeping,Delhi NCR,"Housekeeping,Hotels , Restaurants,Facility Management",1 - 5,1 - 5
29171, Accountant," Accounting, Finance, Gst",Bengaluru,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Architecture, Interior Design",1 - 5,1 - 5
29174, Ionic Developer," cordova, angularjs, ionic framework",Hyderabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
29178," Hiring Fresher , Undergraduates For Non-voice , Semi-voice Process."," non voice process, mnc, kpo, e - mail support, morning shift, chat support, fresher, kyc, us shift, semi voice, non voice, uk shift, semi voice process, undergraduate",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29180, Windows .Net Developer," sql server, c#, .Net, VB.NET, Dot Net Programmer, Dot Net Developer, .net developer, c# developer, sql server developer",Ahmedabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
29189, Accounts _fresher-noida -swetha," bcom, Bba Fresher, accounting, salary, Accounts, communication skills","Delhi NCR,GreaterNoida,Noida","Accounts,Accounts , Finance , Tax , Company Secretary , Audit,BPO, Call Centre, ITeS",1 - 5,1 - 5
29204, Web Developer I Singapore Based Company," css, web technologies, web developer, php, adobe, html, web development, adobe flex, flex developer, jquery, Adobe Creative Suite",Delhi NCR,"Programming & Design,IT Software - Application Programming , Maintenance,Banking, Financial Services, Broking",1 - 5,1 - 5
29207, Require a Mobile Technician," Technician Activities, Chip Level Repairing",Kolkata,"Technical Support,IT Hardware , Technical Support , Telecom Engineering,Other",1 - 5,1 - 5
29213, Teleperformance Is Hiring For Voice Process For Gurgaon Location," voice, customer service associate, bpo, cce, inbound, customer service, fresher, Sales, cse, collections, solving queries, cso, cbse","Delhi NCR,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29239," Customer Care Executive, Location: Belapur (mumbai)"," English, technical support, customer support executive, customer service, Customer Care, Hindi, Languages, customer support",Mumbai,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29261, Walkin for Desktop Support Engineer," Desktop Support, desktop engineer, hardware engineer","Mumbai,NaviMumbai,MumbaiSuburbs","Technical Support,IT Hardware , Technical Support , Telecom Engineering,IT-Hardware & Networking",1 - 5,1 - 5
29271," Data Entry Jobs,work From Home, Part Time Jobs, Online Form Filling"," hr recruiter, screening, recruiter, mass hiring, bulk hiring, hr, Data Entry, HR Manager, bpo recruiter, recruitment consultant, recruitment, recruitment executive, headhunting, bpo hiring, bulk recruitment","Jaipur,Lucknow,NaviMumbai","Other,Executive Assistant , Front Office , Data Entry,IT-Software, Software Services",1 - 5,1 - 5
29279," Walk-in- Csr,travel Support,voice Process for Makemytrip"," Customer Service, customer care, customer support, csr, Domestic BPO, bpo fresher",Ahmedabad,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29280," Interview Call for Telemarketting ,, Gurgaon ,, Mahipalpur"," Telecalling, Calling, Sales Coordination, Sales Coordinator, Customer service, CSE, outbound, voice, inbound, customer care, CCE, CCA, BPO","Delhi NCR,Delhi,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,Shipping, Marine",1 - 5,1 - 5
29283," Relationship Manager ,, Automobile Industry ,, Hooghly & Howrah"," direct sales, product sales, relationship management, Field Sales, Automobile Sales, Real Estate Sales, property sales",Kolkata,"Channel Sales,Sales , Retail , Business Development,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
29286, Walk in For Freshers ," voice support, Voice Process",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29287, Lead Generation Specialist," Sales, Lead Generation, Written Communication, Aggressive, VP, Windows, Ceo, Computer Skills, Marketing, Professional Communication",Delhi NCR,"Sales Support,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
29295,HR Coordinator (interview Coordinator),"interviewing,hr coordination,interview scheduling,interview rostering",Bengaluru,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,IT-Software , Software Services",1 - 5,1 - 5
29301, Recruitment Consultant - Andheri West," interviewing, screening, hiring, recruiter, HR Consultant, hr, sourcing, HR Recruiter, staffing, talent acquisition, it recruitment, recruitment consultant, recruitment, technical recruiter, recruitment executive, it recruiter","Mumbai,MumbaiSuburbs","HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
29305," In-house Event for Tesco for Technical Support Officer, uk Shifts"," it support, tech support executive, hp, it, helpdesk, dxc, dell, technical support, service desk, ibm, network support, technical analyst, it helpdesk",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29307, Dot Net Developer," c#, asp.net mvc, .net, MVC","Bengaluru,Chennai","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
29311, International Process For TOP MNC," Technical Support, Client Support, Bpo, tso, tse, technical support executive, tech support, tsa, tsr, fresher, b.tech, b.e, customer service, SAINT, ICSE, CBSE, Desktop Support, IT Helpdesk","Hyderabad,Karimnagar,Warangal","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29315, Accounts cum Admin - Stock Broking Firm - Powai," Stock Broking, Accounting, GST, SEBI",Mumbai,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Banking, Financial Services, Broking",1 - 5,1 - 5
29316, Immediate Openings for the Position for TSM in Dolphin Sutures," Medical Devices, medical equipment",Bengaluru,"Retail Sales,Sales , Retail , Business Development,Medical, Healthcare, Hospitals",1 - 5,1 - 5
29325, Junior Accountant, Accounting,Noida,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,FMCG, Foods, Beverage",1 - 5,1 - 5
29328," Technical Engineer , Technical Support Engineer , Customer Care."," bpo, tech support, it help desk, customer relationship, technical support engineer, inbound, technical support executive, call center, tsr, technical support, Desktop Support, technical support associate, technical service",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
29344, Sales Manager Bancassurance -health Insurance," Sales Management, Bancassurance, Health Insurance, Banca, Bancassurance Sales, Alternate Channel","Bengaluru,Chennai,Ahmedabad","Retail Sales,Sales , Retail , Business Development,Insurance",1 - 5,1 - 5
29347, Relationship Manager in Exide life," Direct Sales, Target Marketing, Direct Marketing, Relationship Management, Cross Selling, Life Insurance, Negotiation Skills, Go Getter, Life Cycle","Hyderabad,Visakhapatnam,Vijayawada,Warangal,Rajahmundry,Kurnool,Guntur,Kakinada,Karimnagar","Retail Sales,Sales , Retail , Business Development,Insurance",1 - 5,1 - 5
